不知自量	bù zhī zì liàng
金石之计	jīn shí zhī jì
言笑自如	yán xiào zì rú
有头无尾	yǒu tóu wú wěi
九死一生	jiǔ sǐ yī shēng
一生九死	yī shēng jiǔ sǐ
无风作浪	wú fēng zuò làng
不分青白	bù fēn qīng béi
用之不竭	yòng zhī bù jié
画一之法	huà yī zhī fǎ
世俗之见	shì sú zhī jiàn
死而不朽	sǐ ér bù xiǔ
计上心头	jì shàng xīn tóu
不知自爱	bù zhī zì ài
一言半语	yī yán bàn yǔ
四时之气	sì shí zhī qì
神色不动	shén sè bù dòng
无旧无新	wú jiù wú xīn
无为自化	wú wéi zì huà
不羁之才	bù jī zhī cái
视人如子	shì rén rú zǐ
一顾千金	yī gù qiān jīn
三十三天	sān shí sān tiān
自言自语	zì yán zì yǔ
水火无交	shuǐ huǒ wú jiāo
高下在心	gāo xià zài xīn
面目一新	miàn mù yī xīn
一方之任	yī fāng zhī rèn
两世为人	liǎng shì wéi rén
不牧之地	bù mù zhī dì
一饭之德	yī fàn zhī dé
头面人物	tóu miàn rén wù
无虑无思	wú lǜ wú sī
无思无虑	wú sī wú lǜ
生花之笔	shēng huā zhī bǐ
一卧不起	yī wò bù qǐ
天下无双	tiān xià wú shuāng
无地可容	wú dì kě róng
二心三意	èr xīn sān yì
三心二意	sān xīn èr yì
相与为一	xiāng yǔ wéi yī
一日三复	yī rì sān fù
之死不渝	zhī sǐ bù yú
千山万水	qiān shān wàn shuǐ
千水万山	qiān shuǐ wàn shān
万水千山	wàn shuǐ qiān shān
言者不知	yán zhě bù zhī
心急如火	xīn jí rú huǒ
名不虚得	míng bù xū dé
天年不测	tiān nián bù cè
相对无言	xiāng duì wú yán
不知不觉	bù zhī bù jué
日月经天	rì yuè jīng tiān
如风过耳	rú fēng guò ěr
别有天地	bié yǒu tiān dì
一无是处	yī wú shì chù
风车云马	fēng chē yún mǎ
风马云车	fēng mǎ yún chē
一天星斗	yī tiān xīng dǒu
不因不由	bù yīn bù yóu
语长心重	yǔ cháng xīn zhòng
语重心长	yǔ zhòng xīn cháng
月下老人	yuè xià lǎo rén
生生世世	shēng shēng shì shì
目空一世	mù kōng yī shì
安然无事	ān rán wú shì
自相水火	zì xiāng shuǐ huǒ
金石之交	jīn shí zhī jiāo
横行不法	héng xíng bù fǎ
百世不磨	bǎi shì bù mó
人己一视	rén jǐ yī shì
一己之私	yī jǐ zhī sī
有事之秋	yǒu shì zhī qiū
人百其身	rén bǎi qí shēn
有死无二	yǒu sǐ wú èr
一日万机	yī rì wàn jī
有生以来	yǒu shēng yǐ lái
不管一二	bù guǎn yī èr
有志无时	yǒu zhì wú shí
道不举遗	dào bù jǔ yí
养生之道	yǎng shēng zhī dào
不测之祸	bù cè zhī huò
心如铁石	xīn rú tiě shí
归之若水	guī zhī ruò shuǐ
藏之名山	cáng zhī míng shān
不惑之年	bù huò zhī nián
三思而行	sān sī ér xíng
以日为年	yǐ rì wéi nián
百里之才	bǎi lǐ zhī cái
道在人为	dào zài rén wéi
有名无实	yǒu míng wú shí
言不由中	yán bù yóu zhōng
一隅之地	yī yú zhī dì
一国三公	yī guó sān gōng
一日三覆	yī rì sān fù
一坐一起	yī zuò yī qǐ
功成不居	gōng chéng bù jū
不情之请	bù qíng zhī qǐng
风流千古	fēng liú qiān gǔ
不避水火	bù bì shuǐ huǒ
水火不避	shuǐ huǒ bù bì
好生之德	hào shēng zhī dé
身无长物	shēn wú cháng wù
人来人往	rén lái rén wǎng
不翼而飞	bù yì ér fēi
一飞冲天	yī fēi chōng tiān
义不生财	yì bù shēng cái
听而不闻	tīng ér bú wén
百思不解	bǎi sī bù jiě
同心合意	tóng xīn hé yì
一孔之见	yī kǒng zhī jiàn
目无三尺	mù wú sān chǐ
寸草不生	cùn cǎo bù shēng
生财之道	shēng cái zhī dào
一分为二	yī fēn wéi èr
地平天成	dì píng tiān chéng
天成地平	tiān chéng dì píng
天平地成	tiān píng dì chéng
无私有意	wú sī yǒu yì
无所事事	wú suǒ shì shì
一臂之力	yī bì zhī lì
迷而不反	mí ér bù fǎn
千里同风	qiān lǐ tóng fēng
不露声色	bù lù shēng sè
移有足无	yí yǒu zú wú
书不尽意	shū bù jìn yì
有风有化	yǒu fēng yǒu huà
积不相能	jī bù xiāng néng
百年之好	bǎi nián zhī hǎo
若无其事	ruò wú qí shì
