悬崖绝壁	xuán yá jué bì
丁公凿井	dīng gōng záo jǐng
搀前落后	chān qián luò hòu
恪守不渝	kè shǒu bù yú
极目远眺	jí mù yuǎn tiào
德胜头迴	dé shèng tóu huí
还年驻色	huán nián zhù sè
舞文巧诋	wǔ wén qiǎo dǐ
泼油救火	pō yóu jiù huǒ
通宵彻夜	tōng xiāo chè yè
刳心雕肾	kū xīn diāo shèn
冥行盲索	míng xíng máng suǒ
茫无边际	máng wú biān jì
横拖倒扯	héng tuō dào chě
熊罴之士	xióng pí zhī shì
锦片前程	jǐn piàn qián chéng
恣肆无忌	zì sì wú jì
研精竭虑	yán jīng jié lǜ
涤故更新	dí gù gēng xīn
饭牛屠狗	fàn niú tú gǒu
眠花藉柳	mián huā jiè liǔ
遗黎故老	yí lí gù lǎo
应付裕如	yìng fù yù rú
松柏之茂	sōng bǎi zhī mào
鼠腹蜗肠	shǔ fù wō cháng
罪责难逃	zuì zé nán táo
拖金委紫	tuō jīn wěi zǐ
投刃皆虚	tóu rèn jiē xū
力能扛鼎	lì néng gāng dǐng
旭日东升	xù rì dōng shēng
涂歌里咏	tú gē lǐ yǒng
询事考言	xún shì kǎo yán
山肤水豢	shān fū shuǐ huàn
宏材大略	hóng cái dà lüè
头疼脑热	tóu téng nǎo rè
骈肩接迹	pián jiān jiē jì
谬托知己	miù tuō zhī jǐ
四海昻平	sì hǎi shēng píng
死灰复燃	sǐ huī fù rán
虚与委蛇	xū yǔ wēi yí
邪魔怪道	xié mó guài dào
古肥今瘠	gǔ féi jīn shòu
洗耳恭听	xǐ ěr gōng tīng
鼻孔撩天	bí kǒng liáo tiān
返朴归真	fǎn pǔ guī zhēn
戎马生郊	róng mǎ shēng jiāo
兴如嚼蜡	xìng rú jiáo là
整军经武	zhěng jūn jīng wǔ
铁壁铜墙	tiě bì tóng qiáng
铜墙铁壁	tóng qiáng tiě bì
东瞧西望	dōng qiáo xī wàng
挢枉过正	jiǎo wǎng guò zhèng
吹毛求疵	chuī máo qiú cī
竭泽而渔	jié zé ér yú
鲁卫之政	lǔ wèi zhī zhèng
联翩而至	lián piān ér zhì
择肥而噬	zé féi ér shì
明火执械	míng huǒ zhí xiè
偶变投隙	ǒu biàn tóu xì
瓜连蔓引	guā lián màn yǐn
不辩菽麦	bù biàn shū mài
渊图远算	yuān tú yuǎn suàn
伏首贴耳	fú shǒu tiē ěr
标情夺趣	biāo qíng duó qù
江淹才尽	jiāng yān cái jìn
雕玉双联	diāo yǔ shuāng lián
历精图治	lì jīng tú zhì
翩翩公子	piān piān gōng zǐ
吹大法螺	chuī dà fǎ luó
大吹法螺	dà chuī fǎ luó
沾沾自喜	zhān zhān zì xǐ
季布一诺	jì bù yī nuò
霞友云朋	xiá yǒu yún péng
血性男儿	xuè xìng nán ér
蕙心兰质	huì xīn lán zhì
兰质蕙心	lán zhì huì xīn
进退狼狈	jìn tuì láng bèi
事与愿违	shì yǔ yuàn wéi
临渴穿井	lín kě chuān jǐng
自我陶醉	zì wǒ táo zuì
礼义廉耻	lǐ yì lián chǐ
鼠首偾事	shǔ shǒu fèn shì
家烦宅乱	jiā fán zhái luàn
因循守旧	yīn xún shǒu jiù
呼朋引类	hū péng yǐn lèi
引类呼朋	yǐn lèi hū péng
潜移默运	qián yí mò yùn
牛骥同皂	niú jì tóng zào
鸦飞鹊乱	yā fēi què luàn
傲雪欺霜	ào xuě qī shuāng
欺霜傲雪	qī shuāng ào xuě
热情洋溢	rè qíng yáng yì
原始要终	yuán shǐ yào zhōng
身寄虎吻	shēn jì hǔ wěn
离经畔道	lí jīng pàn dào
燕燕莺莺	yàn yàn yīng yīng
焦熬投石	jiāo áo tóu shí
兼收并采	jiān shōu bìng cǎi
扶危翼倾	fú wēi yì qīng
默契神会	mò qì shén huì
直谅多闻	zhí liàng duō wén
涓滴成河	juān dī chéng hé
郑卫之音	zhèng wèi zhī yīn
感恩图报	gǎn ēn tú bào
买上嘱下	mǎi shàng zhǔ xià
燎发摧枯	liǎo fà cuī kū
寸阴是惜	cùn yīn shì xī
硕望宿德	shuò wàng xiǔ dé
火耕水耨	huǒ gēng shuǐ nòu
盗玉窃钩	dào yù qiè gōu
道貌俨然	dào mào yǎn rán
沉吟章句	chén yīn zhāng jù
吞吞吐吐	tūn tūn tǔ tǔ
时乖运拙	shí guāi yùn zhuō
运拙时乖	yùn zhuō shí guāi
银屏金屋	yín píng jīn wū
以噎废餐	yǐ yē fèi cān
加官进爵	jiā guān jìn jué
枝叶扶疏	zhī yè fú shū
使乖弄巧	shǐ guāi nòng qiǎo
纳履决踵	nà lǚ jué zhǒng
纳履踵决	nà lǚ zhǒng jué
十亲九眷	shí qīn jiǔ juàn
丰肌弱骨	fēng jī ruò gǔ
嚼铁咀金	jiáo tiě jǔ jīn
因果报应	yīn guǒ bào yìng
妒贤疾能	dù xián jí néng
官官相护	guān guān xiāng hù
析肝刿胆	xī gān guì dǎn
绿林好汉	lù lín hǎo hàn
汤池铁城	tāng chí tiě chéng
欲益反损	yù yì fǎn sǔn
花枝招颤	huā zhī zhāo chàn
改换门闾	gǎi huàn mén lǘ
一阶半级	yī jiē bàn jí
锋芒逼人	fēng máng bī rén
人丁兴旺	rén dīng xīng wàng
凛若秋霜	lǐn ruò qiū shuāng
桀傲不驯	jié ào bù xùn
更弦改辙	gēng xián gǎi zhé
襟裾马牛	jīn jú mǎ niú
裾马襟牛	jū mǎ jīn niú
马牛襟裾	mǎ niú jīn jū
牛马襟裾	niú mǎ jīn jú
屈尊就卑	qū zūn jiù bēi
身操井臼	shēn cāo jǐng jiù
长绳系景	cháng shéng xì jǐng
激贪厉俗	jī tān lì sú
璧合珠联	bì hé zhū lián
珠联璧合	zhū lián bì hé
奉辞伐罪	fèng cí fá zuì
土穰细流	tǔ rǎng xì liú
东跑西颠	dōng pǎo xī diān
敬老慈少	jìng lǎo cí shǎo
善游者溺	shàn yóu zhě nì
盲人扪烛	máng rén mén zhú
买笑迎欢	mǎi xiào yíng huān
盘马弯弓	pán mǎ wān gōng
投石超距	tóu shí chāo jù
水涨船高	shuǐ zhǎng chuán gāo
闻雷失箸	wén léi shī zhù
躬自菲薄	gōng zì fěi bó
燕巢于幕	yàn cháo yú mù
文房四艺	wén fáng sì yì
斜行横阵	xié xíng héng zhèn
纷至踏来	fēn zhì tà lái
黄钟瓦釜	huáng zhōng wǎ fǔ
用智铺谋	yòng zhì pù móu
必躬必亲	bì gōng bì qīn
巢倾卵破	cháo qīng luǎn pò
破卵倾巢	pò luǎn qīng cháo
呆头呆脑	dāi tóu dāi nǎo
贯盈恶稔	guàn yíng è rěn
稔恶盈贯	rěn è yíng guàn
孝子贤孙	xiào zǐ xián sūn
闭门却扫	bì mén què sǎo
事缓则圆	shì huǎn zé yuán
富轹万古	fù lì wàn gǔ
措置裕如	cuò zhì yù rú
孤臣孽子	gū chén niè zǐ
孽子孤臣	niè zǐ gū chén
辩才无阂	biàn cái wú hé
锱铢不爽	zī zhū bù shuǎng
腊尽春回	là jìn chūn huí
批逆龙鳞	pī nì lóng lín
抟心揖志	tuán xīn yī zhì
雕章镂句	diāo zhāng lòu jù
朱云折槛	zhū yún shé jiàn
肥甘轻暖	féi gān qīng nuǎn
砺世磨钝	lì shì mó dùn
景入桑榆	jǐng rù sāng yú
