derivation,example,explanation,pinyin,word,abbreviation,pinyin_r,first,last
无,无,指女子成年后须及时出嫁。同女长须嫁”。,nǚ dà dāng jià,女大当嫁,nddj,nv da dang jia,nv,jia
西汉·刘安《淮南子·览冥训》于是女娲炼五色石以补苍天。”,传说雨花石是～留下的石头。,神话故事，伏羲的妹妹女娲炼五色石补天。形容改造天地的雄伟气魄和大无畏的斗争精神。,nǚ wā bǔ tiān,女娲补天,nwbt,nv wa bu tian,nv,tian
明·冯梦龙《警世通言》卷三十二十娘钟情所欢，不以贫寠易心，此乃女中豪杰。”,过学士儿子百般用计求他，他有本事百般拒绝，又是个～，正好与中玉作配。★明·名教中人《好逑传》第十四回,豪杰指才能出众的人。女性中的杰出人物。,nǚ zhōng háo jié,女中豪杰,nzhj,nv zhong hao jie,nv,jie
唐·李商隐《李长吉小传》是儿要当呕出心乃已尔。”唐·韩愈《归彭城》诗刳肝以为纸，沥血以书辞。”,～，讴歌社会主义，受到群众的欢迎。★臧克家《老舍永在》,呕吐；沥一滴一滴。比喻用尽心思。多形容为事业、工作、文艺创作等用心的艰苦。,ǒu xīn lì xuè,呕心沥血,oxlx,ou xin li xue,ou,xue
唐·孟郊《去妇》诗妾心藕中丝，虽断犹相连。”,算了吧，你也不必看得过于眼紧，反正他们是～的。★欧阳山《三家巷》二二,藕已折断，但还有许多丝连接着未断开。比喻没有彻底断绝关系。多指男女之间情思难断。,ǒu duàn sī lián,藕断丝连,odsl,ou duan si lian,ou,lian
范金标《怀念敬爱的周总理》在作战频繁的长征路上，一年多的时间里周副主席白天和我们一样爬山涉水，栉风沐雨。”,无,形容路途艰辛。,pá shān shè shuǐ,爬山涉水,psss,pa shan she shui,pa,shui
毛泽东《别了，司徒雷登》闻一多拍案而起，横眉怒对国民党的手枪，宁可倒下去，不愿屈服。”,无,一拍桌子猛地站起来。形容非常愤慨。,pāi àn ér qǐ,拍案而起,paeq,pai an er qi,pai,qi
唐·田颖《博浪沙行序》不禁拍案呼奇。”,使人见之，一个个欢欣鼓舞，快意舒怀，不禁～。★清·陈忱《水浒后传》第一回,拍桌子叫好。形容非常赞赏。,pāi àn jiào jué,拍案叫绝,pajj,pai an jiao jue,pai,jue
明末·凌蒙初有拟话本《初刻拍案惊奇》、《二刻拍案惊奇》。,更令人～的是杜诗‘老妻画纸为棋局，稚子敲针作钓钩’。★《人民日报》（海外版）1982.1.2,对奇异的事情拍着桌子惊叹。,pāi àn jīng qí,拍案惊奇,pajq,pai an jing qi,pai,qi
明·凌濛初《二刻拍案惊奇》卷三十五又见恶姑奸夫俱死，又无不拍手称快。”,无,快痛快。拍掌叫好。多指正义得到伸张或事情的结局使人感到满意。,pāi shǒu chēng kuài,拍手称快,psck,pai shou cheng kuai,pai,kuai
《晋书·殷顗传》顗见江绩亦以正直为仲堪所斥，知仲当逐异己，树置所亲。”,无,排挤、清除和自己意见不同或不属于自己集团派系的人。,pái chì yì jǐ,排斥异己,pcyj,pai chi yi ji,pai,ji
